Sample,PvP01_14_v1:763508,PvP01_03_v1:823594,PvP01_10_v1:184645,PvP01_10_v1:483568,PvP01_12_v1:377299,PvP01_11_v1:1364199,PvP01_10_v1:480601,PvP01_13_v1:1332969,PvP01_14_v1:1272043,PvP01_14_v1:460513,PvP01_12_v1:1695950,PvP01_10_v1:383155,PvP01_12_v1:1127030,PvP01_12_v1:1738799,PvP01_13_v1:66121,PvP01_14_v1:2339401,PvP01_10_v1:256817,PvP01_05_v1:1278457,PvP01_06_v1:882660,PvP01_14_v1:1160762,PvP01_11_v1:1137410,PvP01_06_v1:923512,PvP01_08_v1:879062,PvP01_03_v1:764851,PvP01_09_v1:1101235,PvP01_08_v1:1420994,PvP01_13_v1:516924,PvP01_14_v1:1229487,PvP01_14_v1:2566159,PvP01_12_v1:553265,PvP01_05_v1:1052474,PvP01_11_v1:371608,PvP01_06_v1:646186,PvP01_09_v1:303291,PvP01_12_v1:2324641,PvP01_12_v1:1116377,PvP01_09_v1:924204,PvP01_05_v1:1286077,PvP01_07_v1:595236,PvP01_06_v1:757119,PvP01_07_v1:507890,PvP01_14_v1:1343648,PvP01_08_v1:1506827,PvP01_07_v1:1137322,PvP01_14_v1:344881,PvP01_12_v1:338808,PvP01_09_v1:1169264,PvP01_14_v1:1270401,PvP01_10_v1:1131031,PvP01_08_v1:442363,PvP01_11_v1:1724604,PvP01_12_v1:882252,PvP01_14_v1:1349891,PvP01_10_v1:165046,PvP01_14_v1:2907128,PvP01_03_v1:850299,PvP01_09_v1:1547999,PvP01_09_v1:735276,PvP01_09_v1:1884013,PvP01_05_v1:1020519,PvP01_03_v1:384548,PvP01_05_v1:452615,PvP01_04_v1:400824,PvP01_14_v1:2921425,PvP01_02_v1:355597,PvP01_12_v1:1463080,PvP01_11_v1:384043,PvP01_08_v1:555644,PvP01_11_v1:550783,PvP01_09_v1:644970,PvP01_07_v1:427785,PvP01_12_v1:1988355,PvP01_08_v1:956216,PvP01_01_v1:746509,PvP01_05_v1:693449,PvP01_06_v1:645726,PvP01_13_v1:485833,PvP01_14_v1:138349,PvP01_13_v1:699780,PvP01_05_v1:1285366,PvP01_04_v1:341631,PvP01_14_v1:446323,PvP01_11_v1:1226906,PvP01_03_v1:184372,PvP01_14_v1:1266326,PvP01_11_v1:1345904,PvP01_11_v1:503992,PvP01_11_v1:1448769,PvP01_12_v1:1400307,PvP01_02_v1:491114,PvP01_09_v1:339310,PvP01_13_v1:1209242,PvP01_11_v1:516764,PvP01_13_v1:1340035,PvP01_13_v1:1036146,PvP01_12_v1:1512622,PvP01_14_v1:1258544,PvP01_11_v1:108593,PvP01_03_v1:220999,PvP01_13_v1:411903,PvP01_02_v1:718939,PvP01_05_v1:1049754,PvP01_09_v1:448825,PvP01_11_v1:1868012,PvP01_04_v1:776919,PvP01_05_v1:1079461,PvP01_07_v1:261070,PvP01_14_v1:1348961,PvP01_10_v1:671286,PvP01_12_v1:2057371,PvP01_13_v1:1661666,PvP01_05_v1:1045059,PvP01_12_v1:2353408
Colombia_30102100488,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,C,C,C,C,G,A,G,T,T,G,C,T,A,C,G,G,T,C,G,G,T,G,C,C,T,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,C,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,C,C,C
Colombia_30102100489,A,G,G,G,T,C,G,T,T,G,C,G,G,C,A,C,A,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,G,C,T,A,C,G,G,T,C,G,G,G,G,C,C,T,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,C,T,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
Colombia_30102100490,A,G,G,G,T,C,G,T,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,G,C,T,A,C,G,G,T,C,G,G,G,G,C,C,T,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,T,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,G,C,C,C
Colombia_30102100491,A,G,G,G,T,C,G,C,T,N,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,A,N,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,G,C,N,A,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,C,C,C
Colombia_30102100492,A,G,G,G,T,C,G,T,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,T,C,C,C,G,A,G,T,T,G,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,T,C,C,C
Colombia_30102100493,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,G,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,G,C,C,C
Colombia_30102100504,A,G,G,G,T,C,G,T,T,G,C,G,G,C,A,C,A,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,G,C,T,A,C,G,G,T,C,G,G,G,G,C,C,T,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,C,T,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,T,G,C,C,G,G,A,C,G,T,C,C,C
Colombia_30103103280,A,A,G,G,T,C,G,C,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,T,T,G,A,T,C,C,C,C,G,G,G,T,T,G,C,G,A,C,G,G,T,C,G,G,T,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,G,C,C,C
Colombia_30103103295,A,A,G,G,T,C,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,G,A,G,A,C,G,G,T,C,G,G,T,G,C,C,G,T,C,A,G,A,C,C,G,C,T,G,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,T,G,C,C,C,G,A,C,G,T,C,C,C
Colombia_30111110015,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,G,C,G,A,C,G,G,T,C,G,G,T,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,N,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,C,C,C
Colombia_30111110020,A,G,G,G,T,C,G,C,T,G,C,G,G,C,T,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,T,C,C,C,G,A,G,T,T,G,C,G,A,C,G,G,T,C,G,G,T,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,C,C,C
Colombia_30111110026,A,G,G,G,T,C,G,C,T,G,C,G,T,C,T,C,C,C,C,C,C,C,T,C,G,A,C,G,C,T,G,A,T,C,C,C,C,G,A,G,T,T,G,C,G,A,C,G,G,T,C,G,G,T,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,T,G,C,C,G,G,A,C,G,T,C,C,C
HT_1_144,A,A,G,G,T,C,G,C,T,A,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,A,T,A,N,G,G,C,G,G,T,C,G,G,T,G,C,C,G,T,C,A,G,A,C,C,G,C,T,G,A,G,C,G,G,G,A,G,A,A,T,G,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,G,C,C,C
HT_1_147,C,G,G,G,T,C,G,T,T,G,C,G,G,C,A,C,C,C,C,C,T,C,T,C,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,A,T,A,C,G,G,C,G,G,G,C,G,G,G,G,C,C,G,T,C,A,G,A,G,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,A,T,G,G,A,G,A,G,A,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,G,C,C,C
HT_1_153,C,X,G,G,T,X,G,X,T,A,C,X,T,X,X,C,C,C,C,C,C,X,X,C,X,T,X,G,X,T,G,A,X,X,C,X,C,G,X,G,X,T,A,C,X,X,X,X,X,X,C,G,X,X,X,C,C,X,T,C,A,G,A,N,C,G,C,X,X,A,G,C,G,X,X,A,G,X,X,T,A,T,X,G,A,X,X,X,A,A,C,X,X,G,X,G,C,A,C,T,X,G,C,C,X,X,X,C,X,N,C,C,C
HT_2_112,A,A,G,G,T,C,G,C,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,A,T,A,A,G,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,G,A,G,A,A,T,A,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,G,C,C,C
IVC09-BB-0012,C,G,G,G,A,A,G,T,T,G,C,G,T,C,A,C,C,C,C,T,C,C,T,T,A,T,T,G,C,T,G,A,C,C,C,C,T,G,G,G,T,T,A,C,T,G,C,G,G,G,T,G,G,G,G,C,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,G,G,A,A,G,T,A,T,G,G,T,C,A,A,A,A,C,G,G,G,C,A,C,A,C,T,G,G,T,A,G,G,A,C,G,T,A,C,C
IVC09-OM-0012,A,A,G,G,T,A,G,T,T,G,C,G,T,C,T,C,C,C,C,C,C,C,A,T,A,T,C,G,C,T,G,A,T,C,T,C,T,G,G,G,T,T,A,C,G,G,C,G,G,G,C,G,A,G,G,G,T,G,T,C,A,G,G,C,C,G,C,T,G,A,A,C,G,G,G,G,A,A,A,T,G,T,G,G,T,C,A,A,T,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0015,A,G,G,G,T,A,G,T,T,A,C,G,T,C,T,C,C,C,C,C,C,C,T,C,G,T,C,G,C,A,G,A,C,T,C,C,T,G,G,G,T,T,A,A,T,G,C,G,G,G,C,G,A,T,G,G,T,G,T,C,A,G,G,C,C,G,C,T,C,A,G,C,G,G,T,G,A,A,G,T,G,T,G,G,T,C,A,A,A,A,G,G,G,G,T,G,C,A,C,T,G,G,T,A,G,G,A,C,G,T,A,C,C
IVC09-OM-0018,A,G,G,G,T,A,G,T,T,G,C,G,T,C,N,C,C,C,C,C,C,C,A,C,G,T,C,G,C,N,G,A,N,N,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,N,G,G,T,G,G,T,G,T,C,A,G,A,C,T,G,C,N,C,A,G,C,G,G,T,N,A,A,A,T,N,T,G,G,T,C,A,A,A,N,N,G,G,G,C,G,C,A,C,T,G,G,N,A,G,G,A,N,G,T,A,C,C
IVC09-OM-0032,A,A,G,G,T,A,G,T,T,N,C,T,T,C,A,C,C,C,C,C,C,C,N,N,G,T,T,G,C,T,G,N,C,N,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,N,G,C,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,G,T,G,A,A,G,T,A,T,G,G,T,C,A,A,A,A,G,G,N,G,C,N,C,A,C,T,T,G,N,N,G,G,A,N,G,T,A,C,C
IVC09-OM-0044,A,G,G,G,A,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,G,C,T,G,A,C,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,T,G,C,T,G,T,C,T,G,A,C,T,G,C,C,C,A,A,C,G,G,G,G,A,A,A,T,G,T,G,G,T,G,A,A,A,A,G,G,C,G,C,G,C,A,C,T,G,G,T,A,G,G,G,T,G,G,A,C,C
IVC09-OM-0046,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,G,T,T,G,C,T,G,A,T,C,T,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,A,G,G,G,T,G,T,C,A,G,A,C,C,G,C,C,G,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,C,A,A,A,G,G,G,G,G,C,G,C,A,C,T,T,G,T,A,G,G,G,C,G,T,A,C,C
IVC09-OM-0074,A,G,G,G,T,A,G,C,T,A,C,G,N,C,T,C,C,C,C,C,C,C,X,X,G,T,T,G,C,T,G,A,N,C,C,C,C,G,G,G,T,T,A,C,G,G,X,G,G,X,C,G,G,N,G,X,T,G,T,C,N,G,A,C,N,G,C,T,C,A,N,C,G,X,G,A,A,A,N,N,G,T,G,G,T,X,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,N,G,A,C,G,T,A,C,C
IVC09-OM-0076,A,G,G,G,T,A,G,T,T,N,C,G,T,C,T,C,C,C,C,C,C,C,A,T,G,T,N,G,N,T,G,C,C,C,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,N,N,C,T,G,T,C,A,G,A,C,N,G,C,C,C,A,N,C,G,G,T,G,A,A,N,T,N,T,G,G,T,G,A,A,A,A,G,G,G,G,N,G,C,A,C,T,G,G,N,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0078,A,G,G,G,A,A,G,T,T,G,C,G,T,C,N,C,C,C,C,C,C,C,A,T,G,T,T,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,N,C,T,G,T,C,A,G,A,C,T,G,C,C,C,A,A,C,G,G,N,A,A,A,A,C,G,T,G,G,T,C,A,A,A,A,G,G,G,G,T,G,C,A,G,T,G,G,T,C,N,G,A,C,G,G,A,C,C
IVC09-OM-0092,A,A,G,G,T,A,G,T,A,G,C,T,T,C,A,C,C,C,C,C,C,C,T,T,A,T,C,G,C,T,G,A,C,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,G,C,G,G,T,G,G,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0093,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,N,C,N,T,N,G,C,T,G,A,C,T,C,C,C,G,G,G,T,N,A,A,T,G,C,G,G,T,C,G,G,G,G,G,N,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,G,G,A,A,A,T,A,T,G,G,T,C,A,A,A,A,G,G,G,G,T,G,C,A,C,T,G,G,T,C,C,G,A,C,G,T,A,C,C
IVC09-OM-0099,A,G,G,G,T,A,G,T,T,G,C,T,T,C,A,C,C,C,C,C,C,C,A,C,G,T,C,G,C,T,G,A,T,C,C,C,T,G,G,G,T,C,A,A,G,G,C,G,G,G,C,G,G,T,G,G,T,G,G,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,A,A,A,G,T,A,T,G,G,T,G,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0105,X,A,G,G,T,A,G,T,T,X,C,G,T,C,A,C,X,C,C,C,C,C,A,T,G,T,C,G,C,T,X,A,T,T,X,C,T,G,G,G,T,T,A,C,X,G,C,G,G,G,C,G,A,T,G,X,T,G,T,C,A,G,A,C,T,G,C,T,C,X,G,C,G,G,T,X,A,A,A,T,A,T,G,G,T,C,A,A,A,X,C,A,G,G,C,G,C,A,C,A,G,G,T,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0108,X,A,G,G,X,A,A,T,T,G,C,X,T,C,X,C,C,C,C,C,C,C,X,C,G,T,T,G,C,X,G,A,T,C,C,C,T,G,G,G,T,T,A,C,N,G,C,G,G,G,C,G,G,G,G,N,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,X,T,A,A,A,A,T,G,T,G,G,T,C,A,A,A,A,G,G,G,G,T,G,C,A,C,T,T,G,T,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0114,C,A,G,G,T,A,G,T,A,A,C,G,G,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,C,C,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,G,G,G,C,T,G,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,A,C,A,A,A,A,G,G,G,G,T,G,C,A,C,T,G,G,T,C,G,G,A,C,G,G,A,C,C
IVC09-OM-0115,A,N,G,G,T,A,G,T,N,G,C,N,T,C,A,C,C,C,C,N,C,C,A,T,N,T,N,G,C,T,G,A,T,C,C,C,N,G,G,G,T,T,A,N,T,G,N,G,G,N,C,G,G,T,G,C,T,G,T,C,A,G,A,C,C,N,C,N,C,A,G,C,G,G,T,G,A,A,N,T,A,T,G,G,N,C,A,A,A,A,N,G,G,G,N,G,C,A,C,T,N,G,N,C,G,G,N,C,G,T,A,C,C
IVC09-OM-0118,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,G,C,A,G,A,C,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,G,T,G,G,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,G,T,G,G,T,G,A,A,A,G,G,G,G,G,C,G,C,A,C,T,G,G,C,A,G,G,A,T,G,T,A,C,C
IVC09-OM-0124,A,A,G,G,T,A,G,T,T,G,C,G,T,C,T,C,C,C,C,C,C,C,T,T,A,T,T,G,C,T,G,A,C,T,T,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,T,G,C,T,G,G,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,G,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,A,G,G,A,T,G,T,A,C,C
IVC09-OM-0125,A,N,G,G,N,A,G,T,T,N,C,G,T,C,A,X,C,C,C,C,C,C,A,T,G,T,C,G,C,T,G,A,N,T,C,C,C,G,G,G,X,T,A,C,T,G,C,G,G,G,C,G,G,N,G,C,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,X,G,G,T,N,A,A,G,T,N,T,X,G,T,C,A,A,A,A,G,G,G,G,T,A,C,A,C,T,G,G,N,N,G,G,A,C,G,T,A,C,C
IVC09-OM-0141,A,A,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,N,C,A,T,N,G,C,T,G,A,N,N,C,C,C,G,G,G,T,T,A,C,N,G,C,G,G,T,C,G,N,T,G,G,T,G,T,C,A,G,A,C,N,G,C,T,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,N,A,A,N,G,G,G,G,G,N,G,C,A,C,T,N,G,N,C,G,G,N,C,G,T,A,C,C
IVC09-OM-0142,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,N,C,C,N,T,N,T,N,G,C,T,G,A,N,C,C,C,N,G,G,G,T,T,A,C,N,G,C,G,G,T,C,G,N,N,N,N,T,G,T,C,A,G,A,C,C,G,C,C,G,A,G,C,G,G,T,G,A,A,N,T,A,T,G,G,T,C,A,A,N,A,G,N,G,G,C,G,C,A,C,T,N,G,N,N,G,G,A,C,G,N,A,C,C
IVC09-OM-0143,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,N,C,C,T,C,N,T,N,G,C,T,G,N,C,N,C,C,T,G,G,G,T,T,A,C,N,G,N,G,G,N,C,G,G,T,N,C,N,G,T,C,A,G,N,C,T,G,C,N,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,N,A,A,N,A,G,N,G,G,N,A,C,A,C,T,T,G,N,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0146,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,A,T,C,G,C,T,G,A,C,C,C,C,T,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,T,G,T,C,T,G,A,C,T,G,C,C,G,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,G,A,A,T,A,G,A,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0164,C,A,G,G,T,A,A,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,A,T,A,T,T,G,C,T,G,A,C,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,G,G,G,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,A,A,A,G,T,G,T,G,G,T,C,A,A,T,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,G,T,G,T,A,C,C
IVC09-OM-0192,N,G,G,G,N,A,A,N,T,G,C,G,T,C,A,C,C,C,C,C,C,C,A,C,G,T,C,G,C,T,G,A,C,T,C,C,N,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,G,G,N,N,T,G,T,C,A,G,A,C,C,G,C,C,C,A,N,C,G,G,T,G,A,N,N,T,N,T,G,G,T,C,A,A,A,A,G,N,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,T,G,N,A,C,C
IVC09-OM-0208,A,G,G,G,N,A,N,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,N,N,T,N,G,C,N,G,A,N,N,N,C,C,G,G,G,T,T,A,C,N,G,C,G,G,N,C,G,N,G,N,C,N,G,T,C,A,G,A,C,N,G,C,N,C,A,N,C,G,G,N,G,A,A,A,T,A,T,G,G,T,G,A,N,A,A,N,G,G,G,N,G,C,A,C,T,G,G,N,N,G,G,A,C,G,N,A,C,C
IVC09-OM-0214,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,A,T,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,A,G,G,C,G,G,G,C,G,G,G,G,N,T,G,T,C,A,G,G,C,C,G,C,C,C,A,G,C,G,G,G,A,A,A,A,T,A,T,G,G,T,G,A,A,T,G,G,G,G,G,C,A,C,A,C,T,T,G,T,C,G,G,A,T,G,G,A,C,C
IVC09-OM-0220,A,A,G,G,T,A,G,T,T,G,C,T,T,C,A,C,C,C,C,C,C,C,T,C,A,T,C,G,C,T,G,A,C,C,C,C,T,G,G,G,T,T,A,C,G,G,C,G,G,G,C,G,G,T,G,G,T,G,T,C,T,G,A,C,C,G,C,C,C,A,G,C,G,G,T,G,G,A,A,T,G,T,G,G,T,C,A,A,A,A,G,A,G,G,T,G,C,A,C,T,G,G,T,C,G,G,A,C,G,G,A,C,C
IVC09-OM-0236,C,G,G,G,A,A,G,C,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,T,G,G,G,G,G,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,G,T,A,A,A,A,T,A,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
IVC09-OM-0244,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,N,N,T,T,G,C,T,G,N,T,N,C,C,C,G,G,G,T,N,A,C,N,G,C,G,G,N,C,G,G,T,G,C,T,G,T,C,A,G,A,C,N,G,C,C,C,A,N,C,G,G,T,A,A,A,A,T,A,T,G,G,T,N,A,A,A,A,G,G,G,G,N,G,C,A,C,T,G,G,C,N,G,G,A,C,G,T,A,C,C
IVC09-OM-0245,A,A,G,G,N,A,G,T,T,G,C,N,T,C,A,C,C,C,C,C,C,C,N,C,G,T,T,G,C,N,G,A,C,T,C,C,N,G,G,G,T,T,A,N,T,G,C,G,G,T,C,G,G,N,G,C,T,G,T,C,A,G,N,C,C,G,C,C,C,A,G,C,G,G,T,G,A,A,N,T,A,T,G,G,T,N,A,A,A,A,G,G,G,G,C,N,C,A,C,T,G,G,T,N,G,G,A,T,G,G,A,C,C
IVC10-BB-0014,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,A,G,A,T,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,A,T,G,G,T,G,T,C,A,G,G,C,C,G,C,C,C,A,G,C,G,G,T,A,A,A,G,T,G,T,G,G,T,G,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,A,G,G,A,C,G,T,A,C,C
IVC10-BB-0016,A,N,G,G,N,A,G,T,T,G,C,G,T,C,A,C,C,C,C,N,C,C,T,T,N,T,N,G,C,N,G,N,N,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,N,C,G,G,G,G,N,T,G,T,C,A,G,A,C,C,G,C,C,N,A,G,C,G,G,N,N,A,A,A,T,A,T,G,G,T,N,A,A,A,A,N,G,G,G,N,G,C,A,C,T,G,G,N,N,N,G,A,N,G,G,A,C,C
IVC10-BB-0017,A,G,G,G,N,A,G,T,T,G,C,T,T,C,T,C,C,C,C,T,C,C,T,N,N,T,N,G,C,T,G,A,T,N,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,N,C,G,N,G,G,N,T,G,T,C,A,G,N,C,N,G,C,N,C,A,G,C,G,G,T,N,A,A,N,T,N,T,G,G,T,G,A,A,A,A,G,G,G,G,T,N,N,A,C,T,G,G,N,C,G,G,A,N,G,G,A,C,C
IVC10-BB-0019,A,G,G,G,T,A,G,T,T,G,C,N,T,C,A,C,C,C,C,C,C,C,T,T,N,T,N,G,C,N,G,A,N,N,C,C,T,G,G,G,T,T,A,C,N,G,C,G,G,T,N,G,N,T,G,C,T,G,T,C,A,G,A,C,N,G,C,N,C,A,G,C,G,G,T,N,A,A,N,T,N,T,G,G,T,G,A,A,A,A,N,G,G,G,N,G,C,A,C,N,G,G,T,N,G,G,A,C,G,N,A,C,C
